book_id,book_name,book_picture,price,price_old,author,isbn,press,rest,kind_id,kind_name,description,sales
1,你当像鸟飞往你的山,bookimages/1.jpg,59,59,[美]塔拉·韦斯特弗,978-7-544-27698-6,南海出版公司,100,5,文学,NULL,0
2,追风筝的人,bookimages/2.jpg,29,29,[美]卡勒德·胡赛尼,978-7-208-06164-4,上海人民出版社,100,5,文学,12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟随父亲逃往美国。,0
3,百年孤独,bookimages/3.jpg,39.5,39.5,[哥伦比亚]加西亚·马尔克斯,978-7-544-25399-4,南海出版公司,100,5,文学,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。作品融入神话传说、民间故事、宗教典故等神秘因素，巧妙地糅合了现实与虚幻，展现出一个瑰丽的想象世界，成为20世纪最重要的经典文学巨著之一。1982年加西亚•马尔克斯获得诺贝尔文学奖，奠定世界级文学大师的地位，很大程度上乃是凭借《百年孤独》的巨大影响。,0
4,小王子,bookimages/4.jpg,22,22,[法]安东尼·德·圣-埃克苏佩里,978-7-020-04249-4,人民文学出版社,100,5,文学,NULL,0
5,寂寞的游戏,bookimages/5.jpg,38,38,袁哲生,978-7-559-60417-0,北京联合出版公司,100,5,文学,NULL,0
6,萨拉戈萨手稿,bookimages/6.jpg,118,118,[波兰]扬·波托茨基,978-7-540-49415-5,湖南文艺出版社,100,5,文学,NULL,0
7,局外人,bookimages/7.jpg,22,22,[法]阿尔贝·加缪,978-7-532-75147-1,上海译文出版社,100,5,文学,《局外人》是加缪小说的成名作和代表作之一，堪称20世纪整个西方文坛最具有划时代意义最著名小说之一，“局外人”也由此成为整个西方文学-哲学中最经典的人物形象和最重要的关键词之一。,0
8,1984,bookimages/8.jpg,28,28,[英]乔治·奥威尔,978-7-530-21029-1,北京十月文艺出版社,100,5,文学,★村上春树以《1Q84》向本书致敬,0
9,白鹿原,bookimages/9.jpg,39,39,陈忠实,978-7-020-09029-7,人民文学出版社,100,5,文学,NULL,0
10,倾城之恋,bookimages/10.jpg,11,11,张爱玲,978-7-536-02391-8,花城出版社,100,5,文学,一对现实庸俗的男女，在战争的兵荒马乱之中被命运掷骰子般地掷到了一起，于“一刹那”体会到了“一对平凡的夫妻”之间的“一点真心”⋯⋯张爱玲是作为中国现代文学史上的一位杰出作家，而不是作为一个怪人、异人而存在的。也许她将不仅仅属于现代文学史。遥想几十年、几百年后，她会像她欣赏的李清照一样，在整个中国文学史上占据一个稳定的位置也说不定，而我们知道，那时候今天为我们所熟知的许多现代作家肯定都将被忽略不计了。,0
11,你想活出怎样的人生,bookimages/11.jpg,49.5,49.5,[日]吉野源三郎著,978-7-544-28002-0,南海出版公司,100,5,文学,NULL,0
